MB_16S_ID,MG_ID,MB_18S_ID,Date,Station,SAMPLE_TYPE,Cast,Sample_type,Julian_Day,LAT,LON,DEPTH
OBM10OcWDNA,,,45866,10,Water,1,DNA,2025209,40.0115,1.294,1106
OBM11LaWDNA,OBM11LaWMG,,45867,11,Water,1,DNA,2025210,39.3885,-0.1052,4
OBM11LbWDNA,,,45867,11,Water,1,DNA,2025210,39.3885,-0.1052,75
OBM12OaWDNA,,,45867,12,Water,1,DNA,2025210,39.1674,0.5729,5
OBM12ObWDNA,,,45867,12,Water,1,DNA,2025210,39.1674,0.5729,62
OBM12OcWDNA,,,45867,12,Water,1,DNA,2025210,39.1674,0.5729,1000
OBM12OdWDNA,,,45867,12,Water,1,DNA,2025210,39.1674,0.5729,1288
OBM13LaWDNA,,,45867,13,Water,1,DNA,2025210,38.853,1.2925,5
OBM13LbWDNA,,,45867,13,Water,1,DNA,2025210,38.853,1.2925,65
OBM14OaWDNA,OBM14OaWMG,,45868,14,Water,1,DNA,2025211,38.0753,1.1474,5
OBM14ObWDNA,,,45868,14,Water,1,DNA,2025211,38.0753,1.1474,67
OBM14OcWDNA,,,45868,14,Water,1,DNA,2025211,38.0753,1.1474,1000
OBM14OdWDNA,,,45868,14,Water,1,DNA,2025211,38.0753,1.1474,1660
OBM15LaWDNA,,,45868,15,Water,1,DNA,2025211,38.3987,-0.301,5
OBM15LbWDNA,,,45868,15,Water,1,DNA,2025211,38.3987,-0.301,102
OBM16LaWDNA,OBM16LaWMG,,45868,16,Water,1,DNA,2025211,38.3335,-0.3115,5
OBM16LbWDNA,,,45868,16,Water,1,DNA,2025211,38.3335,-0.3115,72
OBM17LaWDNA,OBM17LaWMG,,45869,17,Water,1,DNA,2025212,37.7004,-0.6013,5
OBM17LbWDNA,,,45869,17,Water,1,DNA,2025212,37.7004,-0.6013,72
OBM18LaWDNA,OBM18LaWMG,,45869,18,Water,1,DNA,2025212,37.5321,-0.9856,5
OBM18LbWDNA,,,45869,18,Water,1,DNA,2025212,37.5321,-0.9856,73
OBM19OaWDNA,,,45869,19,Water,1,DNA,2025212,37.3432,-1.1018,5
OBM19ObWDNA,,,45869,19,Water,1,DNA,2025212,37.3432,-1.1018,57
OBM19OcWDNA,,,45869,19,Water,1,DNA,2025212,37.3432,-1.1018,1000
OBM19OdWDNA,,,45869,19,Water,1,DNA,2025212,37.3432,-1.1018,2358
OBM20OaWDNA,OBM20OaWMG,,45870,20,Water,1,DNA,2025213,36.1125,-2.3706,5
OBM20ObWDNA,,,45870,20,Water,1,DNA,2025213,36.1125,-2.3706,46
OBM20OcWDNA,,,45870,20,Water,1,DNA,2025213,36.1125,-2.3706,1000
OBM20OdWDNA,,,45870,20,Water,1,DNA,2025213,36.1125,-2.3706,1914
OBM21LaWDNA,OBM21LaWMG,,45870,21,Water,1,DNA,2025213,36.7474,-2.4517,5
OBM21LbWDNA,,,45870,21,Water,1,DNA,2025213,36.7474,-2.4517,149
OBM22LaWDNA,,,45870,22,Water,1,DNA,2025213,36.7236,-3.2208,5
OBM22LbWDNA,,,45870,22,Water,1,DNA,2025213,36.7236,-3.2208,85
OBM23OaWDNA,,,45871,23,Water,1,DNA,2025214,36.1417,-4.6165,5
OBM23ObWDNA,,,45871,23,Water,1,DNA,2025214,36.1417,-4.6165,39
OBM23OcWDNA,,,45871,23,Water,1,DNA,2025214,36.1417,-4.6165,1067
OBM24OaWDNA,OBM24OaWMG,,45871,24,Water,1,DNA,2025214,36.1,-4.882,5
OBM24ObWDNA,,,45871,24,Water,1,DNA,2025214,36.1,-4.882,46
OBM24OcWDNA,,,45871,24,Water,1,DNA,2025214,36.1,-4.882,842
OBM25LaWDNA,,,45871,25,Water,1,DNA,2025214,36.3948,-5.1353,5
OBM25LbWDNA,,,45871,25,Water,1,DNA,2025214,36.3948,-5.1353,62
OBM26LaWDNA,OBM26LaWMG,,45872,26,Water,1,DNA,2025215,36.6715,-4.3709,5
OBM26LbWDNA,,,45872,26,Water,1,DNA,2025215,36.6715,-4.3709,50
OBM01LSDNA,OBM01LSMG,,45863,01,Sediment,,DNA,2025206,41.3945,2.2621,47
OBM04LSDNA,OBM04LSMG,,45864,04,Sediment,,DNA,2025207,39.8669,4.3762,83
